   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
44,8.6.2015,16:55:46,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,152,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
45,8.6.2015,16:55:48,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,154,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
46,8.6.2015,16:55:50,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,156,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
47,8.6.2015,16:55:52,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,158,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
48,8.6.2015,16:55:54,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,160,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
49,8.6.2015,16:55:56,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,162,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
50,8.6.2015,16:55:58,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,164,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
51,8.6.2015,16:56:00,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,166,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
52,8.6.2015,16:56:02,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,168,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
53,8.6.2015,16:56:04,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 2.1,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,170,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
